epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/cv4_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/cv4_loss,lr/pg0,lr/pg1,lr/pg2
1,160.443,0.84888,10.7236,0.57764,0.74989,3e-05,0.00267,3e-05,2e-05,0.74589,9.626,0.55891,0.73825,0.0033237,0.0033237,0.0033237
2,319.775,0.84547,10.66,0.57539,0.57241,3e-05,0.00218,3e-05,2e-05,0.74364,9.62132,0.55874,0.64405,0.00659113,0.00659113,0.00659113
3,477.147,0.84621,10.693,0.57504,0.53425,3e-05,0.00218,3e-05,2e-05,0.74652,9.61964,0.55906,0.62668,0.00979256,0.00979256,0.00979256
4,634.793,0.84591,10.6975,0.57477,0.51924,3e-05,0.00218,3e-05,2e-05,0.7438,9.62387,0.55879,0.61622,0.009703,0.009703,0.009703
5,792.598,0.84489,10.7032,0.57139,0.49848,3e-05,0.00218,3e-05,2e-05,0.74388,9.62517,0.55874,0.59503,0.009604,0.009604,0.009604
6,949.783,0.83712,10.6751,0.57619,0.48333,3e-05,0.00218,3e-05,2e-05,0.74557,9.62511,0.55882,0.59215,0.009505,0.009505,0.009505
7,1107.5,0.84938,10.6521,0.57731,0.47232,3e-05,0.00218,3e-05,2e-05,0.74403,9.62799,0.55877,0.57283,0.009406,0.009406,0.009406
8,1266.35,0.84772,10.6735,0.57586,0.46879,3e-05,0.00218,3e-05,2e-05,0.74378,9.62329,0.55863,0.57288,0.009307,0.009307,0.009307
9,1424.42,0.84687,10.7127,0.57517,0.46124,3e-05,0.00218,3e-05,2e-05,0.74558,9.62428,0.55894,0.55723,0.009208,0.009208,0.009208
10,1584,0.83436,10.621,0.57466,0.45267,3e-05,0.00242,3e-05,2e-05,0.74398,9.6243,0.55876,0.54659,0.009109,0.009109,0.009109
11,1742.09,0.84477,10.6757,0.57419,0.44076,3e-05,0.00218,3e-05,2e-05,0.74379,9.62128,0.55884,0.55145,0.00901,0.00901,0.00901
12,1900.29,0.84887,10.7281,0.57306,0.43153,3e-05,0.00218,3e-05,2e-05,0.74552,9.62237,0.55888,0.53993,0.008911,0.008911,0.008911
13,2063.09,0.8522,10.6388,0.5778,0.43099,3e-05,0.00255,3e-05,2e-05,0.74803,9.62475,0.55942,0.54354,0.008812,0.008812,0.008812
14,2221.63,0.8459,10.7031,0.57584,0.42022,3e-05,0.00218,3e-05,2e-05,0.74267,9.62359,0.55856,0.52633,0.008713,0.008713,0.008713
15,2379.19,0.84089,10.6904,0.57332,0.40951,3e-05,0.00218,3e-05,2e-05,0.74524,9.6208,0.55893,0.52396,0.008614,0.008614,0.008614
16,2537.83,0.84166,10.6485,0.57385,0.40373,3e-05,0.00218,3e-05,2e-05,0.7448,9.62428,0.55892,0.5254,0.008515,0.008515,0.008515
17,2695.55,0.84039,10.7306,0.57609,0.39537,3e-05,0.00218,3e-05,2e-05,0.74601,9.62342,0.55895,0.50504,0.008416,0.008416,0.008416
18,2853.4,0.84433,10.7024,0.57534,0.39849,3e-05,0.00255,3e-05,2e-05,0.74716,9.62978,0.55915,0.50747,0.008317,0.008317,0.008317
19,3011.33,0.84271,10.7096,0.57376,0.38492,3e-05,0.00218,3e-05,2e-05,0.74614,9.62593,0.55906,0.49227,0.008218,0.008218,0.008218
20,3170.7,0.8409,10.6601,0.57414,0.37717,3e-05,0.00218,3e-05,2e-05,0.74622,9.62273,0.55892,0.49596,0.008119,0.008119,0.008119
